년월일,호기,설비용량(kW),총량(kWh),평균(kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2024-01-01,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-02,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-03,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-04,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-05,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-06,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-07,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-08,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-09,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-10,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-11,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-12,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-13,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-14,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-15,(신재생) (하동) 익산 다송리 태양광,893 ,104 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,96903 ,7232 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-16,(신재생) (하동) 익산 다송리 태양광,893 ,2746 ,114 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,57129 ,229241 ,451974 ,444742 ,522843 ,462098 ,314574 ,141016 ,111366 ,10124 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-17,(신재생) (하동) 익산 다송리 태양광,893 ,14 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,11571 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-18,(신재생) (하동) 익산 다송리 태양광,893 ,676 ,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18802 ,104858 ,134507 ,129445 ,97626 ,73039 ,62915 ,45559 ,9401 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-19,(신재생) (하동) 익산 다송리 태양광,893 ,1681 ,70 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8678 ,69423 ,180789 ,186575 ,370980 ,257444 ,326144 ,206100 ,68700 ,6508 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-20,(신재생) (하동) 익산 다송리 태양광,893 ,265 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7955 ,15909 ,25311 ,45559 ,45559 ,55683 ,41220 ,21695 ,5785 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-21,(신재생) (하동) 익산 다송리 태양광,893 ,1257 ,52 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,18802 ,70146 ,363748 ,287817 ,292156 ,104858 ,71593 ,34712 ,10847 ,1446 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-22,(신재생) (하동) 익산 다송리 태양광,893 ,1683 ,70 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,40497 ,145355 ,190191 ,266122 ,374596 ,241535 ,227072 ,132338 ,58576 ,5785 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-23,(신재생) (하동) 익산 다송리 태양광,893 ,2262 ,94 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,42666 ,234303 ,198868 ,352178 ,426663 ,355794 ,396291 ,144632 ,101965 ,7955 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-24,(신재생) (하동) 익산 다송리 태양광,893 ,3541 ,148 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,42666 ,240812 ,491024 ,596605 ,588651 ,586481 ,501872 ,342777 ,135231 ,13740 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-25,(신재생) (하동) 익산 다송리 태양광,893 ,3715 ,155 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1446 ,64361 ,273354 ,459928 ,548154 ,635656 ,622639 ,540199 ,399183 ,150417 ,19525 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-26,(신재생) (하동) 익산 다송리 태양광,893 ,2797 ,117 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,69423 ,287094 ,484516 ,547431 ,473668 ,341331 ,298664 ,234303 ,53514 ,5062 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-27,(신재생) (하동) 익산 다송리 태양광,893 ,3832 ,160 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2893 ,70146 ,301557 ,506934 ,614684 ,653012 ,613961 ,519227 ,380381 ,148247 ,20972 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-28,(신재생) (하동) 익산 다송리 태양광,893 ,2856 ,119 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2893 ,67254 ,177897 ,275523 ,566233 ,616131 ,420878 ,359409 ,164157 ,185852 ,20248 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-29,(신재생) (하동) 익산 다송리 태양광,893 ,3871 ,161 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,57129 ,325421 ,524289 ,616131 ,659520 ,619746 ,519227 ,369534 ,155479 ,22418 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-30,(신재생) (하동) 익산 다송리 태양광,893 ,3895 ,162 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2893 ,69423 ,328314 ,494640 ,622639 ,652288 ,587204 ,528628 ,404968 ,177897 ,26034 ,0 ,0 ,0 ,0 ,0 ,0 
2024-01-31,(신재생) (하동) 익산 다송리 태양광,893 ,2842 ,118 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24587 ,86779 ,190191 ,288540 ,545261 ,620469 ,523566 ,397737 ,145355 ,19525 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-01,(신재생) (하동) 익산 다송리 태양광,893 ,1665 ,69 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,26034 ,55683 ,141016 ,242981 ,452697 ,412200 ,177174 ,99796 ,49175 ,7955 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-02,(신재생) (하동) 익산 다송리 태양광,893 ,3553 ,148 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2893 ,45559 ,191637 ,414369 ,508380 ,636379 ,542368 ,556108 ,427386 ,204654 ,23141 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-03,(신재생) (하동) 익산 다송리 태양광,893 ,1131 ,47 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,27480 ,72316 ,131615 ,188021 ,253105 ,201761 ,170665 ,62915 ,20972 ,1446 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-04,(신재생) (하동) 익산 다송리 태양광,893 ,3297 ,137 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1446 ,44113 ,310958 ,509826 ,617577 ,628424 ,509826 ,451251 ,183682 ,32542 ,7232 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-05,(신재생) (하동) 익산 다송리 태양광,893 ,682 ,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,11571 ,54237 ,101242 ,129445 ,161264 ,126553 ,73762 ,20248 ,2893 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-06,(신재생) (하동) 익산 다송리 태양광,893 ,868 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,17356 ,62192 ,133061 ,151140 ,152586 ,169942 ,65084 ,75208 ,33265 ,7232 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-07,(신재생) (하동) 익산 다송리 태양광,893 ,3946 ,164 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5062 ,107027 ,370257 ,534414 ,646503 ,695678 ,647949 ,522843 ,173558 ,212608 ,30373 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-08,(신재생) (하동) 익산 다송리 태양광,893 ,3757 ,157 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6508 ,89672 ,308065 ,491747 ,506934 ,603114 ,622639 ,510549 ,366641 ,214055 ,36881 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-09,(신재생) (하동) 익산 다송리 태양광,893 ,3997 ,167 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6508 ,118598 ,381104 ,566956 ,653012 ,606729 ,537306 ,430279 ,397014 ,255998 ,43389 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-10,(신재생) (하동) 익산 다송리 태양광,893 ,3238 ,135 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7232 ,101965 ,328314 ,494640 ,587927 ,600944 ,366641 ,289263 ,284924 ,148247 ,27480 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-11,(신재생) (하동) 익산 다송리 태양광,893 ,2397 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4339 ,75932 ,169942 ,216224 ,271907 ,376765 ,305173 ,490301 ,285647 ,177897 ,23141 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-12,(신재생) (하동) 익산 다송리 태양광,893 ,4415 ,184 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8678 ,120767 ,362302 ,545261 ,653735 ,705802 ,671814 ,585758 ,458482 ,255998 ,46282 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-13,(신재생) (하동) 익산 다송리 태양광,893 ,4264 ,178 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8678 ,132338 ,347116 ,519227 ,645057 ,672537 ,637825 ,563340 ,442573 ,246597 ,47728 ,723 ,0 ,0 ,0 ,0 ,0 
2024-02-14,(신재생) (하동) 익산 다송리 태양광,893 ,1814 ,76 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18079 ,53514 ,196699 ,148247 ,94734 ,198868 ,481623 ,338438 ,236473 ,47728 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-15,(신재생) (하동) 익산 다송리 태양광,893 ,594 ,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4339 ,5785 ,25311 ,35435 ,20248 ,11571 ,9401 ,49175 ,165603 ,218394 ,48452 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-16,(신재생) (하동) 익산 다송리 태양광,893 ,4726 ,197 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12294 ,165603 ,416539 ,585035 ,685554 ,721712 ,689169 ,611068 ,481623 ,289986 ,66531 ,723 ,0 ,0 ,0 ,0 ,0 
2024-02-17,(신재생) (하동) 익산 다송리 태양광,893 ,4371 ,182 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12294 ,195976 ,344223 ,428833 ,552493 ,720265 ,686277 ,602391 ,469329 ,287817 ,70869 ,723 ,0 ,0 ,0 ,0 ,0 
2024-02-18,(신재생) (하동) 익산 다송리 태양광,893 ,536 ,22 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6508 ,42666 ,56406 ,137400 ,117152 ,109197 ,29649 ,36881 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-19,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-20,(신재생) (하동) 익산 다송리 태양광,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-21,(신재생) (하동) 익산 다송리 태양광,893 ,316 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64361 ,99796 ,45559 ,57129 ,33988 ,13740 ,1446 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-22,(신재생) (하동) 익산 다송리 태양광,893 ,613 ,26 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30373 ,48452 ,94011 ,98349 ,78101 ,94011 ,69423 ,54960 ,32542 ,13017 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-23,(신재생) (하동) 익산 다송리 태양광,893 ,1568 ,65 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28926 ,84609 ,181513 ,178620 ,302280 ,363025 ,235026 ,108474 ,71593 ,13740 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-24,(신재생) (하동) 익산 다송리 태양광,893 ,2020 ,84 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,58576 ,212608 ,365195 ,291433 ,375319 ,360856 ,225625 ,80994 ,37604 ,9401 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-25,(신재생) (하동) 익산 다송리 태양광,893 ,1380 ,57 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5785 ,57853 ,91841 ,118598 ,206100 ,185852 ,262506 ,190191 ,156202 ,88225 ,16633 ,0 ,0 ,0 ,0 ,0 ,0 
2024-02-26,(신재생) (하동) 익산 다송리 태양광,893 ,4285 ,179 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23864 ,146078 ,343500 ,592989 ,687723 ,653012 ,580696 ,404968 ,456313 ,289263 ,102688 ,4339 ,0 ,0 ,0 ,0 ,0 
2024-02-27,(신재생) (하동) 익산 다송리 태양광,893 ,3275 ,136 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15186 ,97626 ,283478 ,478731 ,577080 ,404245 ,429556 ,446912 ,370980 ,112089 ,55683 ,3616 ,0 ,0 ,0 ,0 ,0 
2024-02-28,(신재생) (하동) 익산 다송리 태양광,893 ,3494 ,146 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21695 ,211162 ,331929 ,367364 ,396291 ,494640 ,606006 ,449804 ,331929 ,229241 ,52067 ,2169 ,0 ,0 ,0 ,0 ,0 
2024-02-29,(신재생) (하동) 익산 다송리 태양광,893 ,936 ,39 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6508 ,20248 ,45559 ,70869 ,94011 ,112813 ,122214 ,203207 ,165603 ,57853 ,33988 ,2893 ,0 ,0 ,0 ,0 ,0 
2024-03-01,(신재생) (하동) 익산 다송리 태양광,893 ,5388 ,225 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32542 ,224179 ,471499 ,606729 ,772333 ,813553 ,762932 ,689169 ,546707 ,334822 ,128722 ,5062 ,0 ,0 ,0 ,0 ,0 
2024-03-02,(신재생) (하동) 익산 다송리 태양광,893 ,4502 ,188 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39774 ,263953 ,489578 ,640718 ,713034 ,642164 ,506211 ,465714 ,350008 ,271907 ,114982 ,4339 ,0 ,0 ,0 ,0 ,0 
2024-03-03,(신재생) (하동) 익산 다송리 태양광,893 ,2679 ,112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20972 ,105581 ,147524 ,322528 ,565509 ,511273 ,459205 ,289263 ,146801 ,73762 ,33265 ,2893 ,0 ,0 ,0 ,0 ,0 
2024-03-04,(신재생) (하동) 익산 다송리 태양광,893 ,3081 ,128 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17356 ,107751 ,195976 ,436064 ,595159 ,548877 ,540922 ,334099 ,193083 ,68700 ,41943 ,1446 ,0 ,0 ,0 ,0 ,0 
2024-03-05,(신재생) (하동) 익산 다송리 태양광,893 ,499 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4339 ,25311 ,44836 ,60022 ,79547 ,57853 ,65807 ,53514 ,47728 ,36881 ,23141 ,0 ,0 ,0 ,0 ,0 ,0 
2024-03-06,(신재생) (하동) 익산 다송리 태양광,893 ,4082 ,170 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40497 ,207546 ,417262 ,582142 ,623362 ,715926 ,668198 ,295772 ,306619 ,144632 ,73762 ,5785 ,0 ,0 ,0 ,0 ,0 
2024-03-07,(신재생) (하동) 익산 다송리 태양광,893 ,3993 ,166 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39051 ,232134 ,446912 ,244427 ,433895 ,608176 ,546707 ,548154 ,465714 ,308788 ,109920 ,8678 ,0 ,0 ,0 ,0 ,0 
2024-03-08,(신재생) (하동) 익산 다송리 태양광,893 ,5341 ,223 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50621 ,262506 ,494640 ,661689 ,749192 ,710141 ,722435 ,688446 ,541645 ,344223 ,106304 ,9401 ,0 ,0 ,0 ,0 ,0 
2024-03-09,(신재생) (하동) 익산 다송리 태양광,893 ,5367 ,224 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,56406 ,276969 ,489578 ,634933 ,728943 ,765101 ,730389 ,658074 ,533691 ,349285 ,133784 ,9401 ,0 ,0 ,0 ,0 ,0 
2024-03-10,(신재생) (하동) 익산 다송리 태양광,893 ,5271 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55683 ,271184 ,485239 ,639995 ,731113 ,758593 ,718096 ,632763 ,508380 ,334099 ,126553 ,9401 ,0 ,0 ,0 ,0 ,0 
2024-03-11,(신재생) (하동) 익산 다송리 태양광,893 ,2419 ,101 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,50621 ,161264 ,310235 ,437511 ,462821 ,269738 ,159095 ,171388 ,146078 ,172835 ,70146 ,6508 ,0 ,0 ,0 ,0 ,0 
2024-03-12,(신재생) (하동) 익산 다송리 태양광,893 ,1933 ,81 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11571 ,78101 ,80994 ,232134 ,410031 ,173558 ,116428 ,390505 ,294325 ,113536 ,31096 ,723 ,0 ,0 ,0 ,0 ,0 
2024-03-13,(신재생) (하동) 익산 다송리 태양광,893 ,5283 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,60745 ,253105 ,463544 ,637102 ,705079 ,713757 ,723881 ,681215 ,552493 ,350732 ,130892 ,9401 ,0 ,0 ,0 ,0 ,0 
2024-03-14,(신재생) (하동) 익산 다송리 태양광,893 ,5270 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,58576 ,245151 ,451251 ,603837 ,702186 ,739067 ,723158 ,671814 ,545984 ,367364 ,148971 ,12294 ,0 ,0 ,0 ,0 ,0 
2024-03-15,(신재생) (하동) 익산 다송리 태양광,893 ,5289 ,220 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,37604 ,154756 ,461375 ,644334 ,740514 ,766547 ,736175 ,668921 ,544538 ,367364 ,152586 ,13740 ,0 ,0 ,0 ,0 ,0 
2024-03-16,(신재생) (하동) 익산 다송리 태양광,893 ,4437 ,185 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,62915 ,275523 ,447635 ,643611 ,739067 ,722435 ,621916 ,554662 ,211162 ,126553 ,26034 ,5062 ,0 ,0 ,0 ,0 ,0 
2024-03-17,(신재생) (하동) 익산 다송리 태양광,893 ,4264 ,178 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18802 ,152586 ,428833 ,450527 ,464991 ,633486 ,699294 ,601667 ,446188 ,252382 ,104858 ,10124 ,0 ,0 ,0 ,0 ,0 
2024-03-18,(신재생) (하동) 익산 다송리 태양광,893 ,5341 ,223 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,80994 ,299387 ,502595 ,645057 ,729666 ,750638 ,723158 ,639272 ,517781 ,339884 ,98349 ,11571 ,0 ,0 ,0 ,0 ,0 
2024-03-19,(신재생) (하동) 익산 다송리 태양광,893 ,2631 ,110 ,0 ,0 ,0 ,0 ,0 ,0 ,723 ,20972 ,107751 ,368087 ,465714 ,150417 ,117152 ,269738 ,254552 ,463544 ,330483 ,75932 ,5785 ,0 ,0 ,0 ,0 ,0 
2024-03-20,(신재생) (하동) 익산 다송리 태양광,893 ,5205 ,217 ,0 ,0 ,0 ,0 ,0 ,0 ,2169 ,77378 ,302280 ,501872 ,671091 ,574911 ,581419 ,661689 ,701463 ,568402 ,385443 ,159818 ,16633 ,0 ,0 ,0 ,0 ,0 
2024-03-21,(신재생) (하동) 익산 다송리 태양광,893 ,5503 ,229 ,0 ,0 ,0 ,0 ,0 ,0 ,2893 ,91841 ,316020 ,514888 ,663136 ,712311 ,732559 ,741237 ,666028 ,540922 ,360133 ,147524 ,13740 ,0 ,0 ,0 ,0 ,0 
2024-03-22,(신재생) (하동) 익산 다송리 태양광,893 ,3345 ,139 ,0 ,0 ,0 ,0 ,0 ,0 ,4339 ,52067 ,273354 ,484516 ,648673 ,682661 ,578526 ,282032 ,262506 ,60022 ,11571 ,4339 ,0 ,0 ,0 ,0 ,0 ,0 
