,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
855,159,부산,2025-02-05 16:00,1.9,,5.8,270,34,1005.2,0.2,0.84,,8
856,159,부산,2025-02-05 17:00,1.6,,5.3,320,32,1005.6,0.4,0.63,,6
857,159,부산,2025-02-05 18:00,0.4,,4.2,250,30,1006.0,0.5,0.23,,0
858,159,부산,2025-02-05 19:00,-0.3,,4.4,270,32,1007.2,,,,0
859,159,부산,2025-02-05 20:00,-1.2,,5.7,270,35,1007.5,,,,0
860,159,부산,2025-02-05 21:00,-2.2,,4.0,320,34,1008.9,,,,0
861,159,부산,2025-02-05 22:00,-3.0,,3.6,250,37,1009.5,,,,0
862,159,부산,2025-02-05 23:00,-3.7,,3.3,270,38,1010.5,,,,0
863,159,부산,2025-02-06 00:00,-4.2,,3.4,250,40,1010.9,,,,0
864,159,부산,2025-02-06 01:00,-4.4,,4.3,270,41,1011.2,,,,0
865,159,부산,2025-02-06 02:00,-4.7,,4.8,270,43,1011.3,,,,0
866,159,부산,2025-02-06 03:00,-5.0,,4.7,270,43,1011.7,,,,0
867,159,부산,2025-02-06 04:00,-5.5,,2.0,270,44,1011.8,,,,0
868,159,부산,2025-02-06 05:00,-5.6,,2.9,270,43,1012.0,,,,0
869,159,부산,2025-02-06 06:00,-5.4,,3.6,250,42,1012.3,,,,0
870,159,부산,2025-02-06 07:00,-5.8,,2.0,180,45,1013.3,,,,0
871,159,부산,2025-02-06 08:00,-4.9,,3.7,250,42,1014.3,0.5,0.09,,0
872,159,부산,2025-02-06 09:00,-3.5,,4.2,250,40,1014.3,1.0,0.72,,1
873,159,부산,2025-02-06 10:00,-1.7,,3.5,250,40,1014.1,1.0,1.42,,2
874,159,부산,2025-02-06 11:00,-0.9,,3.8,270,37,1014.4,1.0,1.94,,5
875,159,부산,2025-02-06 12:00,-0.6,,4.1,290,37,1013.6,0.6,1.7,,9
876,159,부산,2025-02-06 13:00,0.6,,4.3,250,32,1012.4,0.6,1.97,,8
877,159,부산,2025-02-06 14:00,2.2,,3.2,270,31,1011.5,0.7,1.9,,9
878,159,부산,2025-02-06 15:00,2.5,,3.5,270,25,1011.6,0.9,1.97,,7
879,159,부산,2025-02-06 16:00,2.8,,2.0,250,26,1011.2,1.0,1.58,,5
880,159,부산,2025-02-06 17:00,2.1,,2.8,270,26,1011.3,1.0,0.8,,8
881,159,부산,2025-02-06 18:00,0.7,,1.7,230,29,1011.5,0.2,0.17,,7
882,159,부산,2025-02-06 19:00,0.6,,2.9,270,27,1011.5,,,,8
883,159,부산,2025-02-06 20:00,0.6,,2.4,250,30,1011.9,,,,9
884,159,부산,2025-02-06 21:00,0.6,,2.9,270,32,1011.9,,,,9
885,159,부산,2025-02-06 22:00,0.2,,2.4,270,27,1012.1,,,,7
886,159,부산,2025-02-06 23:00,0.0,,2.8,270,29,1012.2,,,,8
887,159,부산,2025-02-07 00:00,-0.4,,2.3,250,31,1012.1,,,,9
888,159,부산,2025-02-07 01:00,-0.5,,3.4,250,33,1011.9,,,,3
889,159,부산,2025-02-07 02:00,-0.5,,3.5,230,38,1011.5,,,,0
890,159,부산,2025-02-07 03:00,-0.8,,2.8,250,41,1011.0,,,,8
891,159,부산,2025-02-07 04:00,-0.6,,2.9,250,42,1009.8,,,,9
892,159,부산,2025-02-07 05:00,0.0,,4.1,250,50,1009.0,,,,4
893,159,부산,2025-02-07 06:00,-0.5,0.0,4.0,250,58,1008.1,,,,0
894,159,부산,2025-02-07 07:00,-0.7,,2.7,250,62,1007.7,,,,0
895,159,부산,2025-02-07 08:00,-0.3,,2.8,250,66,1007.3,0.0,0.07,,3
896,159,부산,2025-02-07 09:00,1.5,,6.8,250,67,1006.5,0.9,0.55,,3
897,159,부산,2025-02-07 10:00,2.6,,8.3,230,62,1005.6,0.8,1.07,,5
898,159,부산,2025-02-07 11:00,4.0,,8.9,230,48,1004.6,0.7,1.57,,2
899,159,부산,2025-02-07 12:00,0.8,0.0,3.9,320,65,1005.6,0.5,1.7,,8
900,159,부산,2025-02-07 13:00,2.2,,6.4,270,28,1005.1,0.4,1.35,,2
901,159,부산,2025-02-07 14:00,-0.8,,5.4,290,29,1006.4,0.8,2.29,,6
902,159,부산,2025-02-07 15:00,-1.7,0.0,4.7,290,35,1007.3,0.5,1.42,,8
903,159,부산,2025-02-07 16:00,-2.8,,5.8,290,50,1008.4,0.3,0.79,,2
904,159,부산,2025-02-07 17:00,-3.0,,4.3,250,29,1009.2,0.3,0.47,,1
905,159,부산,2025-02-07 18:00,-4.1,,4.7,270,32,1010.6,0.7,0.23,,1
906,159,부산,2025-02-07 19:00,-4.9,,4.9,270,33,1011.8,,,,0
907,159,부산,2025-02-07 20:00,-5.4,,8.7,270,34,1012.1,,,,0
908,159,부산,2025-02-07 21:00,-6.0,,7.5,270,33,1012.9,,,,0
909,159,부산,2025-02-07 22:00,-6.6,,6.0,250,35,1013.4,,,,0
910,159,부산,2025-02-07 23:00,-7.0,,3.7,70,37,1013.8,,,,0
911,159,부산,2025-02-08 00:00,-7.3,,3.3,160,38,1013.8,,,,0
912,159,부산,2025-02-08 01:00,-7.5,,3.7,90,40,1013.3,,,,0
913,159,부산,2025-02-08 02:00,-7.6,,4.7,50,41,1013.7,,,,0
914,159,부산,2025-02-08 03:00,-7.8,,3.7,360,44,1013.9,,,,0
915,159,부산,2025-02-08 04:00,-8.1,,3.5,70,45,1013.8,,,,0
916,159,부산,2025-02-08 05:00,-8.1,,3.6,110,46,1014.0,,,,0
917,159,부산,2025-02-08 06:00,-7.9,,8.2,290,47,1013.7,,,,0
918,159,부산,2025-02-08 07:00,-8.1,,6.0,320,48,1014.1,,,,0
919,159,부산,2025-02-08 08:00,-7.3,,6.2,320,44,1014.6,0.6,0.11,,0
920,159,부산,2025-02-08 09:00,-4.9,,3.0,90,40,1016.2,1.0,0.75,,0
921,159,부산,2025-02-08 10:00,-3.7,,3.7,230,37,1016.2,1.0,1.5,,0
922,159,부산,2025-02-08 11:00,-2.5,,4.4,290,35,1016.6,1.0,2.13,,0
923,159,부산,2025-02-08 12:00,-0.5,,2.6,180,32,1016.2,1.0,2.54,,0
924,159,부산,2025-02-08 13:00,0.5,,3.7,250,28,1015.6,1.0,2.72,,0
925,159,부산,2025-02-08 14:00,1.1,,4.0,290,26,1015.1,1.0,2.64,,0
926,159,부산,2025-02-08 15:00,2.5,,3.0,290,27,1014.6,1.0,2.33,,0
927,159,부산,2025-02-08 16:00,2.4,,4.1,270,25,1015.2,1.0,1.75,,0
928,159,부산,2025-02-08 17:00,2.1,,2.7,290,27,1015.6,1.0,1.04,,0
929,159,부산,2025-02-08 18:00,0.1,,4.0,340,29,1016.0,0.7,0.27,,0
930,159,부산,2025-02-08 19:00,-0.8,,2.9,340,32,1016.2,,,,0
931,159,부산,2025-02-08 20:00,-1.5,,2.4,360,33,1016.8,,,,0
932,159,부산,2025-02-08 21:00,-2.0,,2.5,70,35,1017.2,,,,0
933,159,부산,2025-02-08 22:00,-2.7,,3.0,20,39,1017.6,,,,0
934,159,부산,2025-02-08 23:00,-3.2,,3.1,320,41,1017.4,,,,0
935,159,부산,2025-02-09 00:00,-3.3,,4.2,320,41,1016.9,,,,0
936,159,부산,2025-02-09 01:00,-3.9,,3.3,250,44,1017.1,,,,0
937,159,부산,2025-02-09 02:00,-4.0,,5.3,320,46,1017.0,,,,0
938,159,부산,2025-02-09 03:00,-4.6,,3.4,110,48,1017.4,,,,0
939,159,부산,2025-02-09 04:00,-5.2,,2.4,50,50,1017.2,,,,0
940,159,부산,2025-02-09 05:00,-4.8,,7.2,290,48,1017.1,,,,0
941,159,부산,2025-02-09 06:00,-5.2,,7.3,290,51,1017.4,,,,0
942,159,부산,2025-02-09 07:00,-5.4,,3.7,160,53,1017.1,,,,1
943,159,부산,2025-02-09 08:00,-4.7,,3.2,140,50,1017.6,0.6,0.11,,0
944,159,부산,2025-02-09 09:00,-2.9,,3.4,140,47,1017.4,1.0,0.78,,0
945,159,부산,2025-02-09 10:00,-0.8,,3.9,140,43,1016.9,1.0,1.51,,0
946,159,부산,2025-02-09 11:00,1.3,,3.0,140,38,1017.0,1.0,2.1,,0
947,159,부산,2025-02-09 12:00,2.0,,3.7,250,36,1016.3,1.0,2.52,,0
948,159,부산,2025-02-09 13:00,2.1,,4.5,250,33,1015.4,1.0,2.72,,0
949,159,부산,2025-02-09 14:00,2.9,,4.9,270,31,1014.8,1.0,2.64,,0
950,159,부산,2025-02-09 15:00,4.3,,4.9,270,28,1014.4,1.0,2.32,,0
951,159,부산,2025-02-09 16:00,3.9,,5.8,270,28,1013.8,1.0,1.78,,0
952,159,부산,2025-02-09 17:00,3.9,,3.3,320,27,1014.2,1.0,1.05,,0
953,159,부산,2025-02-09 18:00,2.5,,1.9,290,29,1014.9,0.7,0.27,,0
954,159,부산,2025-02-09 19:00,1.6,,2.1,290,33,1015.3,,,,0
955,159,부산,2025-02-09 20:00,0.9,,1.6,230,36,1015.3,,,,0
956,159,부산,2025-02-09 21:00,0.5,,3.4,320,36,1015.7,,,,0
957,159,부산,2025-02-09 22:00,-0.4,,3.7,290,38,1015.7,,,,0
958,159,부산,2025-02-09 23:00,-0.8,,3.2,320,39,1015.6,,,,0
959,159,부산,2025-02-10 00:00,-1.3,,3.8,320,42,1015.7,,,,0
960,159,부산,2025-02-10 01:00,-1.7,,3.6,320,46,1016.1,,,,0
961,159,부산,2025-02-10 02:00,-2.1,,4.5,290,49,1016.3,,,,0
962,159,부산,2025-02-10 03:00,-2.8,,3.6,290,53,1016.5,,,,0
963,159,부산,2025-02-10 04:00,-2.8,,5.5,320,53,1015.8,,,,0
964,159,부산,2025-02-10 05:00,-2.9,,3.1,250,53,1015.9,,,,0
965,159,부산,2025-02-10 06:00,-3.1,,3.0,250,54,1016.1,,,,0
966,159,부산,2025-02-10 07:00,-3.2,,1.9,160,53,1016.4,,,,0
967,159,부산,2025-02-10 08:00,-2.0,,2.6,140,46,1017.1,0.6,0.11,,0
968,159,부산,2025-02-10 09:00,-0.9,,2.4,200,40,1017.3,1.0,0.77,,0
969,159,부산,2025-02-10 10:00,1.1,,2.1,110,34,1017.6,1.0,1.48,,0
970,159,부산,2025-02-10 11:00,1.7,,3.6,230,30,1017.6,1.0,2.09,,0
971,159,부산,2025-02-10 12:00,3.1,,3.3,230,30,1017.1,1.0,2.45,,1
972,159,부산,2025-02-10 13:00,4.3,,3.8,320,29,1016.0,1.0,2.65,,0
973,159,부산,2025-02-10 14:00,5.0,,3.9,270,30,1015.6,1.0,2.57,,0
974,159,부산,2025-02-10 15:00,6.4,,2.6,250,29,1015.1,1.0,2.23,,0
975,159,부산,2025-02-10 16:00,6.6,,3.0,250,29,1015.0,1.0,1.69,,0
976,159,부산,2025-02-10 17:00,5.8,,2.8,200,34,1015.3,1.0,0.98,,0
977,159,부산,2025-02-10 18:00,4.0,,1.2,50,32,1015.8,0.7,0.26,,0
978,159,부산,2025-02-10 19:00,2.8,,1.8,320,34,1016.6,0.0,0.0,,0
979,159,부산,2025-02-10 20:00,2.3,,3.0,290,37,1017.3,,,,0
980,159,부산,2025-02-10 21:00,2.1,,4.3,320,37,1018.2,,,,0
981,159,부산,2025-02-10 22:00,1.0,,3.5,320,43,1018.5,,,,0
982,159,부산,2025-02-10 23:00,0.5,,3.6,270,44,1018.3,,,,0
983,159,부산,2025-02-11 00:00,0.5,,2.7,110,43,1018.6,,,,0
984,159,부산,2025-02-11 01:00,0.1,,4.3,290,47,1018.6,,,,0
985,159,부산,2025-02-11 02:00,-0.2,,3.2,70,49,1018.8,,,,0
986,159,부산,2025-02-11 03:00,-0.5,,3.0,140,49,1019.1,,,,0
987,159,부산,2025-02-11 04:00,-0.7,,2.8,250,50,1019.6,,,,0
988,159,부산,2025-02-11 05:00,-1.2,,3.0,140,51,1019.8,,,,0
989,159,부산,2025-02-11 06:00,-0.4,,3.3,360,39,1020.0,,,,0
990,159,부산,2025-02-11 07:00,-0.4,,4.7,320,39,1020.8,,,,0
991,159,부산,2025-02-11 08:00,0.5,,1.6,50,35,1021.9,0.5,0.1,,0
992,159,부산,2025-02-11 09:00,3.5,,2.9,180,35,1022.1,1.0,0.71,,0
993,159,부산,2025-02-11 10:00,4.0,,2.6,320,26,1022.3,1.0,1.42,,0
994,159,부산,2025-02-11 11:00,6.5,,1.8,140,24,1022.1,1.0,2.03,,0
995,159,부산,2025-02-11 12:00,8.6,,2.4,110,23,1021.7,1.0,2.47,,0
996,159,부산,2025-02-11 13:00,9.0,,3.5,180,25,1021.0,1.0,2.61,,0
997,159,부산,2025-02-11 14:00,9.6,,2.4,160,26,1019.5,1.0,2.51,,0
998,159,부산,2025-02-11 15:00,9.1,,3.1,160,22,1018.7,1.0,2.18,,0
999,159,부산,2025-02-11 16:00,8.8,,3.6,180,29,1018.3,1.0,1.65,,0
1000,159,부산,2025-02-11 17:00,7.4,,3.5,110,35,1018.3,1.0,0.96,,0
1001,159,부산,2025-02-11 18:00,5.7,,2.2,90,36,1018.3,0.7,0.26,,0
1002,159,부산,2025-02-11 19:00,4.5,,1.3,250,39,1018.8,0.0,0.0,,0
1003,159,부산,2025-02-11 20:00,3.6,,1.2,250,43,1018.7,,,,0
1004,159,부산,2025-02-11 21:00,3.5,,0.9,160,43,1018.5,,,,0
1005,159,부산,2025-02-11 22:00,2.7,,0.3,0,47,1017.5,,,,0
1006,159,부산,2025-02-11 23:00,2.5,,1.6,50,47,1016.4,,,,6
1007,159,부산,2025-02-12 00:00,4.2,,3.4,270,51,1016.3,,,,4
1008,159,부산,2025-02-12 01:00,3.8,,2.0,250,53,1015.2,,,,8
1009,159,부산,2025-02-12 02:00,5.3,,3.3,270,53,1015.1,,,,10
1010,159,부산,2025-02-12 03:00,5.1,,1.5,290,52,1014.0,,,,10
1011,159,부산,2025-02-12 04:00,5.2,,3.5,250,62,1013.2,,,,10
1012,159,부산,2025-02-12 05:00,2.4,,4.2,320,86,1013.0,,,,10
1013,159,부산,2025-02-12 06:00,2.8,3.4,1.4,50,92,1011.6,,,,10
1014,159,부산,2025-02-12 07:00,3.0,,0.7,140,93,1011.1,,,,10
1015,159,부산,2025-02-12 08:00,3.0,,1.5,20,94,1009.3,0.0,0.01,,10
1016,159,부산,2025-02-12 09:00,3.4,4.6,2.0,20,95,1008.8,0.0,0.06,,10
1017,159,부산,2025-02-12 10:00,4.0,,1.2,50,96,1007.6,0.0,0.09,,10
1018,159,부산,2025-02-12 11:00,4.3,,2.5,20,95,1005.9,0.0,0.12,,10
1019,159,부산,2025-02-12 12:00,4.9,3.3,0.5,50,95,1004.2,0.0,0.17,,10
1020,159,부산,2025-02-12 13:00,5.0,,1.5,290,94,1003.0,0.0,0.29,,10
1021,159,부산,2025-02-12 14:00,4.6,,2.8,290,91,1002.0,0.0,0.38,,10
1022,159,부산,2025-02-12 15:00,5.6,0.0,4.2,270,88,1001.2,0.0,0.42,,10
1023,159,부산,2025-02-12 16:00,5.9,,5.6,230,86,1001.0,0.0,0.5,,9
1024,159,부산,2025-02-12 17:00,5.6,,6.8,250,89,1001.4,0.1,0.46,,9
1025,159,부산,2025-02-12 18:00,5.7,,5.8,270,89,1002.6,0.0,0.08,,9
1026,159,부산,2025-02-12 19:00,4.4,,1.8,320,87,1003.2,0.0,0.0,,6
1027,159,부산,2025-02-12 20:00,5.3,,4.6,250,78,1003.8,,,,0
1028,159,부산,2025-02-12 21:00,6.5,,8.0,250,59,1003.9,,,,0
1029,159,부산,2025-02-12 22:00,5.8,,6.0,270,62,1005.0,,,,0
1030,159,부산,2025-02-12 23:00,4.9,,5.6,270,56,1006.2,,,,8
1031,159,부산,2025-02-13 00:00,4.0,,3.5,270,58,1008.1,,,,4
1032,159,부산,2025-02-13 01:00,2.7,,3.2,270,42,1008.8,,,,0
1033,159,부산,2025-02-13 02:00,1.9,,4.4,270,36,1010.0,,,,0
1034,159,부산,2025-02-13 03:00,1.1,,2.9,320,38,1011.6,,,,0
1035,159,부산,2025-02-13 04:00,0.0,,2.4,340,44,1012.6,,,,0
1036,159,부산,2025-02-13 05:00,-0.8,,4.5,270,40,1012.4,,,,0
1037,159,부산,2025-02-13 06:00,-1.5,,2.6,320,37,1013.9,,,,0
1038,159,부산,2025-02-13 07:00,-1.6,,6.0,360,36,1013.3,,,,0
1039,159,부산,2025-02-13 08:00,-1.0,,5.9,340,32,1014.6,0.7,0.14,,0
1040,159,부산,2025-02-13 09:00,0.6,,4.1,50,29,1014.9,1.0,0.83,,0
1041,159,부산,2025-02-13 10:00,1.8,,3.4,230,25,1015.2,1.0,1.6,,0
1042,159,부산,2025-02-13 11:00,2.4,,5.0,250,25,1015.6,1.0,2.23,,0
1043,159,부산,2025-02-13 12:00,3.4,,4.1,250,23,1014.8,1.0,2.61,,0
1044,159,부산,2025-02-13 13:00,4.3,,4.3,270,24,1014.0,1.0,2.8,,0
1045,159,부산,2025-02-13 14:00,5.7,,3.7,270,21,1012.9,1.0,2.71,,0
1046,159,부산,2025-02-13 15:00,7.0,,3.0,270,23,1012.3,1.0,2.34,,0
1047,159,부산,2025-02-13 16:00,7.2,,3.1,270,21,1012.0,1.0,1.8,,0
1048,159,부산,2025-02-13 17:00,7.3,,2.9,250,21,1012.2,1.0,1.08,,0
1049,159,부산,2025-02-13 18:00,5.6,,3.3,230,28,1012.6,0.8,0.32,,0
1050,159,부산,2025-02-13 19:00,4.1,,2.7,270,34,1013.0,0.0,0.0,,0
1051,159,부산,2025-02-13 20:00,3.6,,3.0,250,39,1013.3,,,,0
1052,159,부산,2025-02-13 21:00,3.5,,3.0,250,41,1013.8,,,,0
1053,159,부산,2025-02-13 22:00,3.1,,2.2,270,45,1013.9,,,,0
1054,159,부산,2025-02-13 23:00,2.8,,2.5,340,41,1014.2,,,,0
1055,159,부산,2025-02-14 00:00,2.2,,2.4,340,46,1014.7,,,,0
1056,159,부산,2025-02-14 01:00,1.6,,2.5,340,49,1014.6,,,,0
1057,159,부산,2025-02-14 02:00,0.8,,2.7,320,52,1014.7,,,,0
1058,159,부산,2025-02-14 03:00,0.3,,1.3,320,52,1014.9,,,,0
1059,159,부산,2025-02-14 04:00,0.7,,2.5,320,52,1014.4,,,,0
1060,159,부산,2025-02-14 05:00,1.1,,3.0,290,48,1013.9,,,,0
1061,159,부산,2025-02-14 06:00,0.6,,1.3,160,48,1014.6,,,,0
1062,159,부산,2025-02-14 07:00,0.3,,2.6,320,51,1014.5,,,,0
1063,159,부산,2025-02-14 08:00,1.5,,2.9,320,44,1014.8,0.6,0.13,,0
1064,159,부산,2025-02-14 09:00,3.4,,3.0,290,40,1015.1,1.0,0.78,,0
1065,159,부산,2025-02-14 10:00,5.4,,2.6,320,37,1014.9,1.0,1.52,,0
1066,159,부산,2025-02-14 11:00,6.4,,4.3,250,35,1014.4,1.0,2.13,,0
1067,159,부산,2025-02-14 12:00,8.2,,4.5,270,31,1013.1,1.0,2.57,,0
1068,159,부산,2025-02-14 13:00,9.7,,3.0,290,27,1012.7,1.0,2.75,,0
1069,159,부산,2025-02-14 14:00,10.9,,2.8,320,25,1011.8,1.0,2.65,,0
1070,159,부산,2025-02-14 15:00,11.8,,2.7,290,23,1011.2,1.0,2.3,,0
1071,159,부산,2025-02-14 16:00,12.1,,2.3,270,20,1011.0,1.0,1.73,,2
1072,159,부산,2025-02-14 17:00,11.6,,3.3,250,23,1010.8,0.9,0.89,,2
1073,159,부산,2025-02-14 18:00,8.8,,3.9,230,32,1011.3,0.8,0.29,,0
1074,159,부산,2025-02-14 19:00,7.5,,3.4,270,43,1011.1,0.0,0.01,,0
1075,159,부산,2025-02-14 20:00,6.4,,3.2,250,41,1011.6,,,,0
1076,159,부산,2025-02-14 21:00,6.0,,3.8,270,39,1011.9,,,,1
1077,159,부산,2025-02-14 22:00,5.5,,3.2,270,40,1011.9,,,,0
1078,159,부산,2025-02-14 23:00,5.5,,3.8,270,41,1011.8,,,,0
1079,159,부산,2025-02-15 00:00,5.0,,2.8,270,39,1011.6,,,,0
1080,159,부산,2025-02-15 01:00,4.4,,0.8,270,40,1011.6,,,,0
1081,159,부산,2025-02-15 02:00,6.1,,2.9,320,33,1011.5,,,,0
1082,159,부산,2025-02-15 03:00,6.0,,4.0,320,36,1010.7,,,,0
1083,159,부산,2025-02-15 04:00,5.4,,3.1,290,38,1010.3,,,,0
1084,159,부산,2025-02-15 05:00,4.4,,1.9,270,45,1010.2,,,,0
1085,159,부산,2025-02-15 06:00,3.8,,1.9,70,46,1010.2,,,,2
1086,159,부산,2025-02-15 07:00,3.2,,1.2,110,47,1010.5,,,,2
1087,159,부산,2025-02-15 08:00,3.4,,0.9,360,47,1011.0,0.1,0.07,,3
1088,159,부산,2025-02-15 09:00,6.6,,0.6,20,46,1010.7,0.3,0.58,,7
1089,159,부산,2025-02-15 10:00,8.4,,1.1,180,43,1010.3,0.7,1.08,,8
1090,159,부산,2025-02-15 11:00,8.8,,3.4,250,38,1010.3,0.0,0.87,,9
1091,159,부산,2025-02-15 12:00,8.8,,4.7,230,47,1009.2,0.1,1.01,,9
1092,159,부산,2025-02-15 13:00,8.0,,4.0,230,45,1008.6,0.0,0.48,,10
1093,159,부산,2025-02-15 14:00,9.9,,3.2,250,38,1007.4,0.2,1.29,,6
1094,159,부산,2025-02-15 15:00,8.5,0.0,4.5,250,40,1007.6,0.0,0.89,,10
1095,159,부산,2025-02-15 16:00,7.6,,3.5,230,38,1007.7,0.0,0.25,,10
1096,159,부산,2025-02-15 17:00,7.8,,3.9,230,37,1007.4,0.0,0.19,,10
1097,159,부산,2025-02-15 18:00,7.4,,4.3,250,42,1007.4,0.0,0.05,,10
1098,159,부산,2025-02-15 19:00,7.2,,3.1,250,42,1007.6,0.0,0.0,,10
1099,159,부산,2025-02-15 20:00,6.8,,3.0,250,40,1007.3,,,,10
1100,159,부산,2025-02-15 21:00,6.5,,5.7,250,49,1008.1,,,,9
1101,159,부산,2025-02-15 22:00,6.3,,4.6,270,51,1008.2,,,,10
1102,159,부산,2025-02-15 23:00,6.2,,3.7,250,50,1008.3,,,,10
1103,159,부산,2025-02-16 00:00,5.9,,1.8,200,50,1008.0,,,,9
1104,159,부산,2025-02-16 01:00,6.1,,4.4,270,45,1008.1,,,,3
1105,159,부산,2025-02-16 02:00,5.7,,4.0,270,47,1007.7,,,,4
1106,159,부산,2025-02-16 03:00,5.6,,3.7,270,49,1007.5,,,,7
1107,159,부산,2025-02-16 04:00,5.3,,4.3,290,50,1006.8,,,,6
1108,159,부산,2025-02-16 05:00,4.8,,2.9,290,49,1006.8,,,,0
1109,159,부산,2025-02-16 06:00,4.2,,3.0,290,51,1007.1,,,,0
1110,159,부산,2025-02-16 07:00,3.8,,3.0,270,55,1007.4,,,,2
1111,159,부산,2025-02-16 08:00,4.5,,5.7,320,55,1007.3,0.2,0.1,,3
1112,159,부산,2025-02-16 09:00,6.0,,2.0,290,50,1007.4,1.0,0.74,,2
1113,159,부산,2025-02-16 10:00,7.1,,4.8,290,48,1006.9,1.0,1.59,,6
1114,159,부산,2025-02-16 11:00,8.4,,4.5,290,43,1006.9,1.0,2.1,,5
1115,159,부산,2025-02-16 12:00,10.9,,4.5,270,36,1006.9,1.0,2.57,,1
1116,159,부산,2025-02-16 13:00,12.9,,2.7,250,33,1005.8,1.0,2.76,,2
1117,159,부산,2025-02-16 14:00,13.6,,3.3,230,31,1004.9,1.0,2.61,,1
1118,159,부산,2025-02-16 15:00,13.6,,3.3,180,38,1004.7,1.0,2.3,,0
1119,159,부산,2025-02-16 16:00,12.7,,4.2,230,40,1004.6,1.0,1.73,,0
1120,159,부산,2025-02-16 17:00,12.2,,3.4,250,45,1004.5,1.0,0.97,,1
1121,159,부산,2025-02-16 18:00,10.4,,5.1,250,50,1004.8,0.6,0.25,,1
1122,159,부산,2025-02-16 19:00,9.7,,5.8,250,48,1005.1,0.0,0.01,,0
1123,159,부산,2025-02-16 20:00,9.4,,5.7,250,48,1005.5,,,,0
1124,159,부산,2025-02-16 21:00,9.0,,5.4,250,50,1006.1,,,,0
1125,159,부산,2025-02-16 22:00,8.8,,4.7,250,47,1006.5,,,,0
1126,159,부산,2025-02-16 23:00,8.4,,5.4,250,41,1006.5,,,,0
1127,159,부산,2025-02-17 00:00,8.6,,6.0,250,33,1006.6,,,,0
1128,159,부산,2025-02-17 01:00,8.0,,2.9,270,30,1006.8,,,,0
1129,159,부산,2025-02-17 02:00,6.2,,4.6,270,43,1007.6,,,,0
1130,159,부산,2025-02-17 03:00,5.0,,2.6,160,47,1007.9,,,,0
1131,159,부산,2025-02-17 04:00,4.5,,5.5,270,48,1008.3,,,,0
1132,159,부산,2025-02-17 05:00,3.9,,6.2,250,40,1008.9,,,,0
1133,159,부산,2025-02-17 06:00,3.3,,6.1,270,34,1009.9,,,,0
1134,159,부산,2025-02-17 07:00,2.3,,4.3,200,23,1010.8,,,,0
1135,159,부산,2025-02-17 08:00,2.1,,4.2,320,23,1012.6,0.7,0.17,,0
1136,159,부산,2025-02-17 09:00,2.3,,6.1,340,20,1013.8,1.0,0.9,,0
